No,latitude,longitude,Produk,Status Konservasi,Status IG,Kabupaten,Kecamatan,Desa
1,-5.5129174,122.5688522,Alat Musik Latatou,Rentan,Berpotensi,Baubau,Sorawolio,Sulaa (Lipu)
2,-5.4169226,122.6524544,Atap Nipa,Rentan,Tidak Berpotensi,Baubau,Kokalukuna,Lakologou
3,-5.3617257,122.7003939,Beras Ngkaring-Ngkaring,Melimpah,Berpotensi,Baubau,Bungi,Ngkaring-karing
4,-5.4563663,122.7454202,Beras Wakawondu,Rentan,Berpotensi,Baubau,Sorawolio,Gonda
5,-5.4825,122.69389,Gendang,Rentan,Tidak Berpotensi,Baubau,Sorawolio,-
6,-5.4890392,122.581442,Ikan Asap,Rentan,Tidak Berpotensi,Baubau,Betoambari,Lipu
7,-5.4626611,122.5937694,Ikan Asap,Rentan,Tidak Berpotensi,Baubau,Batupoaro,Tarafu
8,-5.4580367,122.6019803,Ikan Asap,Rentan,Tidak Berpotensi,Baubau,Batupoaro,Nganganaumala
9,-5.4348181,122.6606092,Ikan Kaholeo,Melimpah,Berpotensi,Baubau,Kokalukuna,Waruruma
10,-5.49722,122.58611,Kerajinan Bambu,Terancam,Berpotensi,Baubau,Betoambari,-
11,-5.4825,122.69389,Kerajinan Mboeyo,Rentan,Berpotensi,Baubau,Sorawolio,-
12,-5.4563663,122.7454202,Kerajinan Nentu,Rentan,Tidak Berpotensi,Baubau,Sorawolio,Gonda
13,-5.4825,122.69389,Kerajinan Rotan,Rentan,Tidak Berpotensi,Baubau,Sorawolio,-
14,-5.3375468,122.6641485,Kerang Mutiara,Melimpah,Berpotensi,Baubau,Bungi,Palabusa
15,-5.49722,122.58611,Kopi,Melimpah,Berpotensi,Baubau,Betoambari,-
16,-5.4563663,122.7454202,Madu,Melimpah,Tidak Berpotensi,Baubau,Sorawolio,Gonda
17,-5.48465,122.6012806,Sisir Tenun,Terancam,Berpotensi,Baubau,Murhum,Baadia
18,-5.5143023,122.5905064,Tembakau,Rentan,Berpotensi,Baubau,Betoambari,Labalawa
19,-5.4563663,122.7454202,Tuak,Melimpah,Tidak Berpotensi,Baubau,Sorawolio,Gonda
20,-5.48465,122.6012806,Tuak,Melimpah,Tidak Berpotensi,Baubau,Murhum,Baadia
21,-5.473599,122.6035996,Tudung Saji (Panamba),Terancam,Berpotensi,Baubau,Murhum,Melai
22,-5.5143023,122.5905064,Tudung Saji (Panamba),Rentan,Berpotensi,Baubau,Betoambari,Labalawa
23,-5.4917,122.84,Atap Nipa,Melimpah,Tidak Berpotensi,Buton,Wolowa,-
24,-5.25293,122.736687,Ikan Kabangu,Melimpah,Berpotensi,Buton,Kapuntori,Boneatiro
25,-5.251582,122.741926,Ikan Kaholeo,Melimpah,Berpotensi,Buton,Kapuntori,Boneatiro
26,-5.2372306,123.0297806,Jeruk Lasembangi,Melimpah,Berpotensi,Buton,Lasalimu,Lasembangi
27,-5.469013,122.754684,Kemiri,Melimpah,Tidak Berpotensi,Buton,Pasarwajo,Kaongkaongkea
28,-5.52949,122.84477,Kerajinan Bambu,Rentan,Tidak Berpotensi,Buton,Pasarwajo,-
29,-5.0917,122.804,Kerajinan Nentu,Melimpah,Tidak Berpotensi,Buton,Kapuntori,Todanga
30,-5.0917,122.804,Kerajinan Rotan,Rentan,Tidak Berpotensi,Buton,Kapuntori,Todanga
31,-5.471148,122.756008,Kopi,Melimpah,Berpotensi,Buton,Pasarwajo,Kaongkaongkea
32,-5.52949,122.84477,Madu Bidoko,Melimpah,Tidak Berpotensi,Buton,Pasarwajo,-
33,-5.4917,122.84,Nasi Bambu Wolowa,Rentan,Berpotensi,Buton,Wolowa,-
34,-5.58869,122.83559,Tenun Pewarna Alam,Melimpah,Berpotensi,Buton,Wabula,-
35,-5.61435,122.8184694,Tikar Ponda,Rentan,Berpotensi,Buton,Wabula,Wasuemba
36,-5.52949,122.84477,Tuak,Melimpah,Tidak Berpotensi,Buton,Pasarwajo,-
37,-5.636544,122.752111,Bawang Merah,Melimpah,Berpotensi,Buton Selatan,Lapandewa,Lande
38,-5.528654,122.753893,Beras Gunung,Rentan,Berpotensi,Buton Selatan,Sampolawa,Rongi
39,-5.567885,122.748157,Beras Gunung,Rentan,Berpotensi,Buton Selatan,Sampolawa,Gunung Sejuk
